order_id,customer_id,customer_name,region,category,product,quantity,unit_price,order_date,status
1001,C001,Rahul Sharma,North,Electronics,Laptop,1,55000,2024-01-05,Delivered
1002,C002,Priya Mehta,South,Clothing,Kurta Set,3,1200,2024-01-07,Delivered
1003,C003,Amit Patel,West,Electronics,Smartphone,1,22000,2024-01-10,Delivered
1004,C004,Sneha Reddy,East,Home & Kitchen,Mixer Grinder,1,3500,2024-01-12,Delivered
1005,C001,Rahul Sharma,North,Electronics,Headphones,2,2500,2024-01-15,Delivered
1006,C005,Vikram Singh,North,Books,Data Science Handbook,2,800,2024-01-18,Delivered
1007,C006,Anjali Nair,South,Beauty,Skincare Kit,1,1800,2024-01-20,Returned
1008,C007,Ravi Kumar,West,Electronics,Tablet,1,18000,2024-01-22,Delivered
1009,C008,Deepa Joshi,East,Clothing,Saree,2,2200,2024-01-25,Delivered
1010,C002,Priya Mehta,South,Home & Kitchen,Air Fryer,1,6500,2024-01-28,Delivered
1011,C009,Kiran Rao,South,Electronics,Smartwatch,1,8500,2024-02-01,Delivered
1012,C010,Suresh Babu,West,Books,Python Programming,1,600,2024-02-03,Delivered
1013,C003,Amit Patel,West,Electronics,Laptop,1,58000,2024-02-05,Delivered
1014,C011,Meena Iyer,South,Clothing,Dress,2,1500,2024-02-08,Delivered
1015,C012,Arjun Das,East,Home & Kitchen,Pressure Cooker,1,2800,2024-02-10,Returned
1016,C001,Rahul Sharma,North,Electronics,Smartphone,1,24000,2024-02-12,Delivered
1017,C013,Pooja Verma,North,Beauty,Perfume,2,2200,2024-02-14,Delivered
1018,C014,Naveen Reddy,East,Electronics,Headphones,1,3200,2024-02-17,Delivered
1019,C005,Vikram Singh,North,Books,Machine Learning Guide,1,950,2024-02-20,Delivered
1020,C015,Lakshmi Nair,South,Home & Kitchen,Blender,1,4200,2024-02-22,Delivered
1021,C006,Anjali Nair,South,Electronics,Tablet,1,16000,2024-02-25,Delivered
1022,C016,Rajesh Kumar,West,Clothing,Shirt Pack,3,900,2024-02-27,Delivered
1023,C007,Ravi Kumar,West,Electronics,Laptop,1,62000,2024-03-01,Delivered
1024,C017,Sunita Gupta,North,Beauty,Makeup Kit,1,3500,2024-03-04,Delivered
1025,C008,Deepa Joshi,East,Home & Kitchen,Rice Cooker,1,3200,2024-03-07,Delivered
1026,C018,Manoj Tiwari,North,Electronics,Smartwatch,2,9000,2024-03-10,Delivered
1027,C009,Kiran Rao,South,Clothing,Lehenga,1,5500,2024-03-12,Returned
1028,C019,Geeta Pillai,South,Books,SQL for Beginners,2,700,2024-03-15,Delivered
1029,C010,Suresh Babu,West,Electronics,Smartphone,1,20000,2024-03-18,Delivered
1030,C020,Harish Menon,South,Home & Kitchen,Washing Machine,1,28000,2024-03-20,Delivered
1031,C011,Meena Iyer,South,Electronics,Laptop,1,52000,2024-03-22,Delivered
1032,C001,Rahul Sharma,North,Beauty,Grooming Kit,1,1800,2024-03-25,Delivered
1033,C021,Divya Shetty,West,Clothing,Jeans,2,1400,2024-03-27,Delivered
1034,C012,Arjun Das,East,Electronics,Headphones,2,2800,2024-03-30,Delivered
1035,C022,Prasad Reddy,East,Books,Power BI Guide,1,850,2024-04-02,Delivered
1036,C013,Pooja Verma,North,Electronics,Tablet,1,19000,2024-04-05,Delivered
1037,C023,Rekha Singh,North,Home & Kitchen,Microwave,1,12000,2024-04-07,Delivered
1038,C014,Naveen Reddy,East,Clothing,Kurta,3,1100,2024-04-10,Delivered
1039,C024,Anil Sharma,West,Electronics,Laptop,1,65000,2024-04-12,Delivered
1040,C015,Lakshmi Nair,South,Beauty,Hair Care Kit,1,2200,2024-04-15,Delivered
1041,C016,Rajesh Kumar,West,Electronics,Smartphone,1,26000,2024-04-17,Returned
1042,C025,Kavitha Nair,South,Home & Kitchen,Toaster,1,2500,2024-04-20,Delivered
1043,C017,Sunita Gupta,North,Books,Excel Mastery,1,750,2024-04-22,Delivered
1044,C018,Manoj Tiwari,North,Electronics,Smartwatch,1,9500,2024-04-25,Delivered
1045,C026,Bharat Patel,West,Clothing,Saree,2,3200,2024-04-27,Delivered
1046,C019,Geeta Pillai,South,Electronics,Tablet,1,17500,2024-04-30,Delivered
1047,C020,Harish Menon,South,Electronics,Laptop,1,59000,2024-05-02,Delivered
1048,C021,Divya Shetty,West,Beauty,Skincare Set,1,2800,2024-05-05,Delivered
1049,C022,Prasad Reddy,East,Home & Kitchen,Induction Cooker,1,3800,2024-05-07,Delivered
1050,C001,Rahul Sharma,North,Electronics,Laptop,1,67000,2024-05-10,Delivered
